Región,Comuna,Latitude,Longitude,Razón social,Nombre de Establecimiento,Rubro,ID Establecimiento,Generación Residuos Peligrosos ton/año (2016),Emisión al aire año ton/año (2016),Emisión CO2 ton/año (2016),Emisión NOX ton/año (2016),Emisión SO2 ton/año (2016),"Emisión MP2,5 ton/año (2016)",Emisión MP 10 ton/año (2016),Generación de residuos no peligrosos ton/año 2016,Destinatario de residuos no peligrosos ton/año (2016)
Antofagasta,Calama,-41.87412016,-71.95171312,CONSTRUCCIONES Y PAVIMENTOS LIMITADA,CHIU CHIU 1,0,5470044,-,-,-,-,-,-,-,-,-
Antofagasta,Antofagasta,-35.67514497,-71.54296465,VTR COMUNICACIONES SPA,CN4 ANTOFAGASTA,Otras actividades,5461770,-,-,-,-,-,-,-,-,-
Antofagasta,Calama,-35.67514497,-71.54296465,VTR COMUNICACIONES SPA,CN3 CALAMA,Otras actividades,5461771,-,-,-,-,-,-,-,-,-
Antofagasta,Antofagasta,-31.44156626,-71.56287267,RENDIC HERMANOS S A,CD ANTOFAGASTA,Producción de alimentos,5458478,-,23.167872,23.167872,0,0,0,0,-,-
Antofagasta,Antofagasta,-30.80685804,-71.57559676,ORICA CHILE S A,ORICA PLANTA EHM,Producción química,4586103,542.35,-,-,-,-,-,-,376.8,-
Antofagasta,Taltal,-25.9497908,-70.12215685,ASESORIA MINERA GEOANALITICA LIMITADA,ASESORIA MINERA GEOANALITICA LTDA SCM HIERRO TALTAL,Otras actividades,5458555,-,-,-,-,-,-,-,-,-
Antofagasta,Taltal,-25.91681974,-70.07051637,MINERA LAS CENIZAS S A,MINA BARREAL SECO,0,5470675,-,-,-,-,-,-,-,-,-
Antofagasta,Taltal,-25.84192382,-69.85381675,SOCIEDAD CONTRACTUAL MINERA FRANKE,SCM FRANKE,Extracción de minerales,3275718,299.815,32321.09749,32321.09749,0,0,0,0,-,-
Antofagasta,Taltal,-25.83725341,-69.85725551,MINERA LAS CENIZAS S A,MINA ALTAMIRA,Extracción de minerales,5460940,81.083,11802.713,11802.713,0,0,0,0,97,-
Antofagasta,Taltal,-25.78763442,-70.32562002,MINERA LAS CENIZAS S A,PLANTA DE OXIDOS TALTAL,Extracción de minerales,5460941,85.434,16295.497,16295.497,0,0,0,0,62,-
Antofagasta,Taltal,-25.67209626,-70.59101091,MINERA LAS CENIZAS S A,PLANTA LAS LUCES,Extracción de minerales,69814,65.19,162.3648,162.3648,0,0,0,0,165.6,-
Antofagasta,Antofagasta,-25.54992328,-70.25622851,CONSORCIO RLU-NORTERRA LIMITADA,CONSORCIO RLU-NORTERRA,0,5466699,-,-,-,-,-,-,-,-,-
Antofagasta,Taltal,-25.54988281,-70.25673569,CONEJO SOLAR SPA,PROYECTO SOLAR CONEJO,Generación de energía,5465825,7.11,381.2137056,381.2137056,0,0,0,0,233,-
Antofagasta,Taltal,-25.54690554,-70.20489974,PAMPA SOLAR NORTE CUATRO SPA,"LAT 1X220 KV, NUEVA SUBESTACIÓN FV ELEVADORA PAMPA SOLAR NORTE ? TAP OFF PAMPA SOLAR NORTE",Generación de energía,5466520,-,-,-,-,-,-,-,-,-
Antofagasta,Taltal,-25.54469311,-70.19390963,HELIO ATACAMA NUEVE SPA,PROYECTO FOTOVOLTAICO PAMPA,Generación de energía,5464493,5.926,164.048976,164.048976,0,0,0,0,-,-
Antofagasta,Taltal,-25.43206823,-70.51888227,REMAVESA S A,B898,Otras actividades,5470182,-,-,-,-,-,-,-,-,-
Antofagasta,Taltal,-25.43063956,-70.00516689,AGUAS DE ANTOFAGASTA S A,AGUA VERDE,Suministro y tratamiento de aguas,5440541,2.1,8372.664518,8372.664518,0,0,0,0,-,-
Antofagasta,Taltal,-25.41262701,-70.477522,AGUAS DE ANTOFAGASTA S A,PLANTA DE FILTROS OHIGGINS,Suministro y tratamiento de aguas,5452996,-,8.176896,8.176896,0,0,0,0,-,-
Antofagasta,Taltal,-25.40810379,-70.48109529,SERVICIO DE SALUD ANTOFAGASTA DIRECCION,HOSPITAL 21 DE MAYO DE TALTAL,Otras actividades,5458276,0.973,-,-,-,-,-,-,-,-
Antofagasta,Taltal,-25.40792058,-70.47866749,EMPRESA ELECTRICA DE ANTOFAGASTA SA,OFICINA TAL TAL,Otras actividades,386460,-,103.1651712,103.1651712,0,0,0,0,-,-
Antofagasta,Taltal,-25.40763818,-70.4851852,BANCO DEL ESTADO DE CHILE,SUCURSAL TALTAL,Otras actividades,103636,-,0.48672,0.48672,0,0,0,0,-,-
Antofagasta,Taltal,-25.40749693,-70.48665471,ILUSTRE MUNICIPALIDAD DE TALTAL,ILUSTRE MUNICIPALIDAD DE TALTAL,Municipio,881993,-,-,-,-,-,-,-,7459,-
Antofagasta,Taltal,-25.40691253,-70.48730363,TELEFONICA CHILE S.A.,TALTAL,Otras actividades,5464062,-,-,-,-,-,-,-,-,-
Antofagasta,Taltal,-25.40649567,-70.48030027,AGUAS DE ANTOFAGASTA S A,PLANTA ATACAMA,Suministro y tratamiento de aguas,5440542,4.06,1214.269056,1214.269056,0,0,0,0,45.05,-
